Index	Sylheti (Romanized)	Sylheti (Bangla Script)	Bangla (Standard)	English (Standard)	Syloti Nagri (ꠍꠤꠟꠐꠤ ꠘꠣꠉꠞꠤ)	Russian (Русский)	German (Deutsch)	Domain	Register
5.1	Tarar loge nizereo pak-saf korla	তারার লগে নিজরেও পাক-ছাফ করলা	তাঁদের সাথে নিজেকেও পাক-পবিত্র করলেন।	They purified themselves too.	ꠔꠣꠞꠣꠞ ꠟꠉꠦ ꠘꠤꠎꠞꠦꠅ ꠙꠣꠇ-ꠍꠣꠚ ꠇꠞꠟꠣ	Они тоже очистили себя.	Sie haben sich auch gereinigt.	Religion	Standard/Written
5.2	Tarar loge nizereo fax-saf xorla	তারার লগে নিজরেও ফাখ-ছাফ খরলা	তাঁদের সাথে নিজেকেও পাক-পবিত্র করলেন।	They purified themselves too.	ꠔꠣꠞꠣꠞ ꠟꠉꠦ ꠘꠤꠎꠞꠦꠅ ꠚꠣꠈ-ꠍꠣꠚ ꠈꠞꠟꠣ	Они тоже очистили себя.	Sie haben sich auch gereinigt.	Religion	Colloquial/Spoken
6.1	Amar kan betha khorer	আমার কান বেথা খরের	আমার কান ব্যথা করছে।	My ear is hurting.	ꠀꠝꠣꠞ ꠇꠣꠘ ꠛꠦꠕꠣ ꠈꠞꠦꠞ	У меня болит ухо.	Mein Ohr tut weh.	Health	Standard/Written
6.2	Amar xan betha xorer	আমার খান বেথা খরের	আমার কান ব্যথা করছে।	My ear is hurting.	ꠀꠝꠣꠞ ꠈꠣꠘ ꠛꠦꠕꠣ ꠈꠞꠦꠞ	У меня болит ухо.	Mein Ohr tut weh.	Health	Colloquial/Spoken
7.1	Cor-gu palai gese	চোরগু পালাই গেছে	চোরটা পালিয়েছে।	The thief has escaped.	ꠌꠧꠞꠉꠥ ꠙꠣꠟꠣꠁ ꠉꠦꠍꠦ	Вор сбежал.	Der Dieb ist entkommen.	Daily Life	Standard/Written
7.2	Sur-gu falai gese	চুরগু ফালাই গেছে	চোরটা পালিয়েছে।	The thief has escaped.	ꠍꠥꠞꠉꠥ ꠚꠣꠟꠣꠁ ꠉꠦꠍꠦ	Вор сбежал.	Der Dieb ist entkommen.	Daily Life	Colloquial/Spoken
8.1	Tai pagol oigese	তাই পাগল অইগেছে	সে পাগল হয়ে গেছে।	He has gone mad.	ꠔꠣꠁ ꠙꠣꠉꠟ ꠅꠁꠉꠦꠍꠦ	Он сошел с ума.	Er ist verrückt geworden.	Expression	Standard/Written
8.2	Tai fagol oigese	তাই ফাগল অইগেছে	সে পাগল হয়ে গেছে।	He has gone mad.	ꠔꠣꠁ ꠚꠣꠉꠟ ꠅꠁꠉꠦꠍꠦ	Он сошел с ума.	Er ist verrückt geworden.	Expression	Colloquial/Spoken
9.1	Gas taki phol porlo	গাছ থাকি ফল পড়লো	গাছ থেকে ফল পড়ল।	The fruit fell from the tree.	ꠉꠣꠍ ꠕꠣꠇꠤ ꠚꠟ ꠙꠠꠟꠧ	Фрукт упал с дерева.	Die Frucht fiel vom Baum.	Nature	Standard/Written
9.2	Gas taki fol forlo	গাছ তাকি ফল ফড়লো	গাছ থেকে ফল পড়ল।	The fruit fell from the tree.	ꠉꠣꠍ ꠔꠣꠇꠤ ꠚꠟ ꠚꠠꠟꠧ	Фрукт упал с дерева.	Die Frucht fiel vom Baum.	Nature	Colloquial/Spoken
10.1	Boro tuphan aier	বড় তুফান আইয়ের	বড় ঝড় আসছে।	A heavy storm is coming.	ꠛꠠ ꠔꠥꠚꠣꠘ ꠀꠁꠄꠞ	Надвигается сильный шторм.	Ein schwerer Sturm zieht auf.	Weather	Standard/Written
10.2	Boro tuan aier	বড় তুআন আইয়ের	বড় ঝড় আসছে।	A heavy storm is coming.	ꠛꠠ ꠔꠥꠀꠘ ꠀꠁꠄꠞ	Надвигается сильный шторм.	Ein schwerer Sturm zieht auf.	Weather	Colloquial/Spoken
11.1	Tumi kapor dhuiso ni?	তুমি কাপড় ধুইছো নি?	তুমি কি কাপড় ধুয়েছো?	Have you washed the clothes?	ꠔꠥꠝꠤ ꠇꠣꠙꠠ ꠗꠥꠁꠍꠧ ꠘꠤ?	Ты постирал одежду?	Hast du die Kleidung gewaschen?	Daily Life	Standard/Written
11.2	Tumi xafor dhuiso ni?	তুমি খাফর ধুইছো নি?	তুমি কি কাপড় ধুয়েছো?	Have you washed the clothes?	ꠔꠥꠝꠤ ꠈꠣꠚꠠ ꠗꠥꠁꠍꠧ ꠘꠤ?	Ты постирал одежду?	Hast du die Kleidung gewaschen?	Daily Life	Colloquial/Spoken
12.1	Ami bhat khairam	আমি ভাত খাইরাম	আমি ভাত খাচ্ছি।	I am eating rice.	ꠀꠝꠤ ꠜꠣꠔ ꠈꠣꠁꠞꠣꠝ	Я ем рис.	Ich esse Reis.	Daily Life	Informal
13.1	Ikano ao, zoldi	ইকানো আও, জলদি	এখানে এসো, তাড়াতাড়ি	Come here, quickly	ꠁꠇꠣꠘꠧ ꠀꠅ, ꠎꠟꠖꠤ	Иди сюда, быстро	Komm her, schnell	Daily Life	Standard/Written
13.2	Ixano ao, zoldi	ইখানো আও, জলদি	এখানে এসো, তাড়াতাড়ি	Come here, quickly	ꠁꠈꠣꠘꠧ ꠀꠅ, ꠎꠟꠖꠤ	Иди сюда, быстро	Komm her, schnell	Daily Life	Colloquial/Spoken
14.1	He bazar-o zaibo	হে বাজার-ও যাইবো	সে বাজারে যাবে।	He will go to the market.	ꠢꠦ ꠛꠣꠎꠣꠞ-ꠅ ꠎꠣꠁꠛꠧ	Он пойдет на рынок.	Er wird auf den Markt gehen.	Daily Life	Informal
15.1	Amare tura pani deo, ba	আমারে তুড়া পানি দেও, বা	আমাকে একটু পানি দাও, ভাই	Give me some water, please	ꠀꠝꠣꠞꠦ ꠔꠥꠠꠣ ꠙꠣꠘꠤ ꠖꠦꠅ, ꠛꠣ	Дай мне немного воды, пожалуйста	Gib mir bitte etwas Wasser	Request	Standard/Written
15.2	Amare tura fani deo, ba	আমারে তুড়া ফানি দেও, বা	আমাকে একটু পানি দাও, ভাই	Give me some water, please	ꠀꠝꠣꠞꠦ ꠔꠥꠠꠣ ꠚꠣꠘꠤ ꠖꠦꠅ, ꠛꠣ	Дай мне немного воды, пожалуйста	Gib mir bitte etwas Wasser	Request	Colloquial/Spoken
16.1	Aiz bohut gorom	আইজ বহুত গরম	আজ অনেক গরম।	Today is very hot.	ꠀꠁꠎ ꠛꠢꠥꠔ ꠉꠞꠝ	Сегодня очень жарко.	Heute ist es sehr heiß.	Weather	Informal
17.1	Tumi koi taki aiso?	তুমি কই তাকি আইছো?	তুমি কোথা থেকে এসেছো?	Where are you from?	ꠔꠥꠝꠤ ꠇꠂ ꠕꠣꠇꠤ ꠀꠁꠍꠧ?	Откуда ты?	Woher kommst du?	Inquiry	Standard/Written
17.2	Tumi xoi taki aiso?	তুমি খই তাকি আইছো?	তুমি কোথা থেকে এসেছো?	Where are you from?	ꠔꠥꠝꠤ ꠈꠂ ꠕꠣꠇꠤ ꠀꠁꠍꠧ?	Откуда ты?	Woher kommst du?	Inquiry	Colloquial/Spoken
18.1	Ami kisu zani na	আমি কিছু জানি না	আমি কিছু জানি না	I do not know anything	ꠀꠝꠤ ꠇꠤꠍꠥ ꠎꠣꠘꠤ ꠘꠣ	Я ничего не знаю	Ich weiß nichts	Daily Life	Standard/Written
18.2	Ami xisu zani na	আমি খিসু জানি না	আমি কিছু জানি না	I do not know anything	ꠀꠝꠤ ꠈꠤꠍꠥ ꠎꠣꠘꠤ ꠘꠣ	Я ничего не знаю	Ich weiß nichts	Daily Life	Colloquial/Spoken
19.1	Pua-gu bohut vala	পুয়া-গু বহুত ভালা	ছেলেটি অনেক ভালো	The boy is very good	ꠙꠥꠀ-ꠉꠥ ꠛꠢꠥꠔ ꠜꠣꠟꠣ	Мальчик очень хороший	Der Junge ist sehr gut	Description	Standard/Written
19.2	Fua-gu bohut vala	ফুয়া-গু বহুত ভালা	ছেলেটি অনেক ভালো	The boy is very good	ꠚꠥꠀ-ꠉꠥ ꠛꠢꠥꠔ ꠜꠣꠟꠣ	Мальчик очень хороший	Der Junge ist sehr gut	Description	Colloquial/Spoken
20.1	Tai, oile, aizku aiyse na	তাই, অইলে, আইজকু আইছে না	সে, তবে, আজ আসেনি	She, however, did not come today	ꠔꠣꠁ, ꠅꠁꠟꠦ, ꠀꠁꠎꠇꠥ ꠀꠁꠍꠦ ꠘꠣ	Она, однако, сегодня не пришла	Sie ist heute jedoch nicht gekommen	Statement	Informal
21.1	Tumi amar kotha hunrai ni?	তুমি আমার কথা হুনরায় নি?	তুমি কি আমার কথা শুনছো?	Are you listening to me?	ꠔꠥꠝꠤ ꠀꠝꠣꠞ ꠇꠕꠣ ꠢꠥꠘꠞꠣꠁ ꠘꠤ?	Ты меня слушаешь?	Hörst du mir zu?	Inquiry	Standard/Written
21.2	Tumi amar xotha hunrai ni?	তুমি আমার খথা হুনরায় নি?	তুমি কি আমার কথা শুনছো?	Are you listening to me?	ꠔꠥꠝꠤ ꠀꠝꠣꠞ ꠈꠕꠣ ꠢꠥꠘꠞꠣꠁ ꠘꠤ?	Ты меня слушаешь?	Hörst du mir zu?	Inquiry	Colloquial/Spoken
22.1	Puri-e boi porer	পুরিয়ে বই পড়ের	মেয়েটি বই পড়ছে	The girl is reading a book	ꠙꠥꠞꠤꠄ ꠛꠂ ꠙꠠꠦꠞ	Девочка читает книгу	Das Mädchen liest ein Buch	Education	Standard/Written
22.2	Furi-e boi forer	ফুরিয়ে বই ফড়ের	মেয়েটি বই পড়ছে	The girl is reading a book	ꠚꠥꠞꠤꠄ ꠛꠂ ꠚꠠꠦꠞ	Девочка читает книгу	Das Mädchen liest ein Buch	Education	Colloquial/Spoken
23.1	Amra ekloge zaimu	আমরা একলগে যাইমু	আমরা একসাথে যাবো	We will go together	ꠀꠝꠞꠣ ꠄꠇꠟꠉꠦ ꠎꠣꠁꠝꠥ	Мы пойдем вместе	Wir werden zusammen gehen	Daily Life	Informal
24.1	Amar pet betha korer	আমার পেট বেথা করের	আমার পেট ব্যথা করছে	My stomach is hurting	ꠀꠝꠣꠞ ꠙꠦꠐ ꠛꠦꠕꠣ ꠇꠞꠦꠞ	У меня болит живот	Mein Bauch tut weh	Health	Standard/Written
24.2	Amar fet betha xorer	আমার ফেট বেথা খরের	আমার পেট ব্যথা করছে	My stomach is hurting	ꠀꠝꠣꠞ ꠚꠦꠐ ꠛꠦꠕꠣ ꠈꠞꠦꠞ	У меня болит живот	Mein Bauch tut weh	Health	Colloquial/Spoken
25.1	Baire bohut zore meg deer	বাইরে বহুত জোরে মেঘ দের	বাইরে খুব জোরে বৃষ্টি হচ্ছে	It is raining heavily outside	ꠛꠣꠁꠞꠦ ꠛꠢꠥꠔ ꠎꠥꠞꠦ ꠝꠦꠉ ꠖꠦꠞ	На улице идет сильный дождь	Es regnet draußen stark	Weather	Informal
26.1	Kita koiso, bhai?	কিতা কইছো, ভাই?	কী বলেছো, ভাই?	What did you say, brother?	ꠇꠤꠔꠣ ꠇꠁꠍꠧ, ꠜꠣꠁ?	Что ты сказал, брат?	Was hast du gesagt, Bruder?	Inquiry	Standard/Written
26.2	Kita xoiso, bhai?	কিতা খইছো, ভাই?	কী বলেছো, ভাই?	What did you say, brother?	ꠇꠤꠔꠣ ꠈꠁꠍꠧ, ꠜꠣꠁ?	Что ты сказал, брат?	Was hast du gesagt, Bruder?	Inquiry	Colloquial/Spoken
27.1	Ami aizku khaitam nay	আমি আইজকু খাইতাম নায়	আমি আজ খাবো না	I will not eat today	ꠀꠝꠤ ꠀꠁꠎꠇꠥ ꠈꠣꠁꠔꠣꠝ ꠘꠣꠄ	Я сегодня не буду есть	Ich werde heute nicht essen	Daily Life	Informal
28.1	Kun shomoy aiba, dosto?	কুন সময় আইবা, দোস্ত?	কখন আসবে, বন্ধু?	When will you come, friend?	ꠇꠥꠘ ꠡꠝꠄ ꠀꠁꠛꠣ, ꠖꠥꠍꠔꠧ?	Когда ты придешь, друг?	Wann kommst du, Freund?	Inquiry	Informal
29.1	Ami Sylheti matram	আমি সিলেটি মাতরাম	আমি সিলেটি বলছি।	I am speaking Sylheti.	ꠀꠝꠤ ꠍꠤꠟꠐꠤ ꠝꠣꠔꠞꠣꠝ	Я говорю на силхети.	Ich spreche Sylheti.	Language	Informal
30.1	Pani anso ni?	পানি আনছো নি?	পানি এনেছো কি?	Have you brought water?	ꠙꠣꠘꠤ ꠀꠘꠍꠧ ꠘꠤ?	Ты принес воду?	Hast du Wasser gebracht?	Daily Life	Standard/Written
30.2	Fani anso ni?	ফানি আনছো নি?	পানি এনেছো কি?	Have you brought water?	ꠚꠣꠘꠤ ꠀꠘꠍꠧ ꠘꠤ?	Ты принес воду?	Hast du Wasser gebracht?	Daily Life	Colloquial/Spoken
31.1	Tumi zodi zao, amio zaimu.	তুমি যদি যাও, আমিও যাইমু।	তুমি যদি যাও, আমিও যাবো।	If you go, I will go too.	ꠔꠥꠝꠤ ꠎꠥꠖꠤ ꠎꠣꠅ, ꠀꠝꠤꠅ ꠎꠣꠁꠝꠥ.	Если ты пойдешь, я тоже пойду.	Wenn du gehst, gehe ich auch.	Condition	Informal
32.1	Pori bhalo koria matlam.	পড়ি ভালো করিয়া মাতলাম।	পড়ে ভালোভাবে বললাম।	I read and spoke well.	ꠙꠠꠤ ꠜꠣꠟꠣ ꠇꠞꠤꠀ ꠝꠣꠔꠟꠣꠝ.	Я прочитал и хорошо сказал.	Ich habe gelesen und gut gesprochen.	Education	Standard/Written
32.2	Fori vala khoria matlam.	ফড়ি ভালা খরিয়া মাতলাম।	পড়ে ভালোভাবে বললাম।	I read and spoke well.	ꠚꠠꠤ ꠜꠣꠟꠣ ꠈꠞꠤꠀ ꠝꠣꠔꠟꠣꠝ.	Я прочитал и хорошо сказал.	Ich habe gelesen und gut gesprochen.	Education	Colloquial/Spoken
33.1	Biral-gu ghumaier.	বিড়াল-গু ঘুমাইয়ের।	বিড়ালটি ঘুমাচ্ছে।	The cat is sleeping.	ꠛꠤꠠꠣꠟ-ꠉꠥ ꠊꠥꠝꠣꠁꠄꠞ.	Кошка спит.	Die Katze schläft.	Nature	Informal
34.1	Ami khailam.	আমি খাইলাম।	আমি খেলাম।	I ate.	ꠀꠝꠤ ꠈꠣꠁꠟꠣꠝ.	Я поел.	Ich habe gegessen.	Daily Life	Standard/Written
35.1	Bhai-e khorer.	ভাইয়ে করের।	ভাই করছে।	The brother is doing it.	ꠜꠣꠁꠄ ꠇꠞꠦꠞ.	Брат делает это.	Der Bruder macht es.	Daily Life	Standard/Written
35.2	Bhai-e xorer.	ভাইয়ে খরের।	ভাই করছে।	The brother is doing it.	ꠜꠣꠁꠄ ꠈꠞꠦꠞ.	Брат делает это.	Der Bruder macht es.	Daily Life	Colloquial/Spoken
36.1	Rasta bhanga.	রাস্তা ভাঙ্গা।	রাস্তা ভাঙা।	The road is broken.	ꠞꠣꠍꠔꠣ ꠜꠣꠋꠉꠣ.	Дорога разбита.	Die Straße ist kaputt.	Description	Standard
37.1	Dhoa uther, zoldi ao.	ধোঁয়া উঠের, জলদি আও।	ধোঁয়া উঠছে, তাড়াতাড়ি এসো।	Smoke is rising, come quickly.	ꠗꠥꠀ ꠃꠑꠦꠞ, ꠎꠟꠖꠤ ꠀꠅ.	Дым поднимается, иди быстрее.	Rauch steigt auf, komm schnell.	Warning	Informal
38.1	Paharor upor.	পাহাড়র উপর।	পাহাড়ের ওপর।	On top of the mountain.	ꠙꠣꠢꠣꠠꠞ ꠃꠙꠞ.	На вершине горы.	Auf dem Berg.	Nature	Standard/Written
38.2	Faharor ufor.	ফাখাড়র উফর।	পাহাড়ের ওপর।	On top of the mountain.	ꠚꠣꠢꠣꠠꠞ ꠃꠚꠞ.	На вершине горы.	Auf dem Berg.	Nature	Colloquial/Spoken
39.1	Zibon bohut kothin.	জীবন বহুত কঠিন।	জীবন অনেক কঠিন।	Life is very hard.	ꠎꠤꠛꠘ ꠛꠢꠥꠔ ꠇꠑꠤꠘ.	Жизнь очень трудна.	Das Leben ist sehr schwer.	Philosophy	Informal
40.1	Hokol manush xoman nay.	হকল মানুষ সমান নায়।	সব মানুষ সমান নয়।	All people are not equal.	ꠢꠇꠟ ꠝꠣꠘꠥꠡ ꠡꠝꠣꠘ ꠘꠣꠄ.	Все люди не равны.	Alle Menschen sind nicht gleich.	Philosophy	Informal
41.1	Ami tar kotha hunlam.	আমি তার কথা হুনলাম।	আমি তার কথা শুনলাম।	I listened to his words.	ꠀꠝꠤ ꠔꠣꠞ ꠇꠕꠣ ꠢꠥꠘꠟꠣꠝ.	Я выслушал его слова.	Ich habe auf seine Worte gehört.	Daily Life	Standard/Written
41.2	Ami tar xotha hunlam.	আমি তার খথা হুনলাম।	আমি তার কথা শুনলাম।	I listened to his words.	ꠀꠝꠤ ꠔꠣꠞ ꠈꠕꠣ ꠢꠥꠘꠟꠣꠝ.	Я выслушал его слова.	Ich habe auf seine Worte gehört.	Daily Life	Colloquial/Spoken
42.1	Cha khaiba ni, ba?	চা খাইবা নি, বা?	চা খাবেন কি, ভাই?	Will you drink tea, brother?	ꠌꠣ ꠈꠣꠁꠛꠣ ꠘꠤ, ꠛꠣ?	Будешь пить чай, брат?	Wirst du Tee trinken, Bruder?	Hospitality	Standard/Written
42.2	Sa khaiba ni, ba?	সা খাইবা নি, বা?	চা খাবেন কি, ভাই?	Will you drink tea, brother?	ꠍꠣ ꠈꠣꠁꠛꠣ ꠘꠤ, ꠛꠣ?	Будешь пить чай, брат?	Wirst du Tee trinken, Bruder?	Hospitality	Colloquial/Spoken
43.1	Mas khora oise.	মাছ খরা অইছে।	মাছ কড়া ভাজা হয়েছে।	The fish has been fried hard.	ꠝꠣꠍ ꠈꠠꠣ ꠅꠁꠍꠦ.	Рыба сильно зажарена.	Der Fisch wurde hart gebraten.	Food	Informal
44.1	Pakhi ural dise.	পাখি উড়াল দিছে।	পাখিটি উড়েছে।	The bird has flown.	ꠙꠣꠈꠤ ꠃꠠꠣꠟ ꠖꠤꠍꠦ.	Птица улетела.	Der Vogel ist geflogen.	Nature	Standard/Written
44.2	Fakhi ural dise.	ফাখি উড়াল দিছে।	পাখিটি উড়েছে।	The bird has flown.	ꠚꠣꠈꠤ ꠃꠠꠣꠟ ꠖꠤꠍꠦ.	Птица улетела.	Der Vogel ist geflogen.	Nature	Colloquial/Spoken
45.1	Ami zani he zaibo.	আমি জানি হে যাইবো।	আমি জানি সে যাবে।	I know he will go.	ꠀꠝꠤ ꠎꠣꠘꠤ ꠢꠦ ꠎꠣꠁꠛꠧ.	Я знаю, что он пойдет.	Ich знаю, что он пойдет.	Statement	Informal
46.1	Amar namor spelling kita?	আমার নামর স্পেলিং কিতা?	আমার নামের বানান কী?	What is the spelling of my name?	ꠀꠝꠣꠞ ꠘꠣꠝꠞ ꠁꠍꠙꠦꠟꠤꠋ ꠇꠤꠔꠣ?	Как пишется мое имя?	Wie wird mein Name geschrieben?	Inquiry	Standard/Written
47.1	Rong bhalo lagsena.	রং ভালো লাগছেনা।	রঙ ভালো লাগছে না।	I don't like the color.	ꠞꠋ ꠜꠣꠟꠣ ꠟꠣꠉꠍꠦꠘꠣ.	Мне не нравится цвет.	Ich mag die Farbe nicht.	Opinion	Informal
48.1	Tara khela khorer.	তারা খেলা খরের।	তারা খেলছে।	They are playing.	ꠔꠣꠞꠣ ꠈꠦꠟꠣ ꠈꠞꠦꠞ.	Они играют.	Sie spielen.	Action	Standard/Written
49.1	Gharor bitre zao, thanda aier.	ঘরর বিতরে যাও, ঠান্ডা আইয়ের।	ঘরের ভেতরে যাও, ঠান্ডা আসছে।	Go inside the house, it is getting cold.	ꠊꠞꠞ ꠛꠤꠔꠞꠦ ꠎꠣꠅ, ꠑꠣꠘ꠆ꠒꠣ ꠀꠁꠄꠞ.	Иди в дом, становится холодно.	Geh ins Haus, es wird kalt.	Instruction	Informal
50.1	Ekta golpo kou.	একটা গল্প কউ।	একটি গল্প বলো।	Tell a story.	ꠄꠇꠐꠣ ꠉꠟꠙ ꠇꠃ.	Расскажи историю.	Erzähl eine Geschichte.	Request	Standard/Written
51.1	Nodi baria gese.	নদী বাড়িয়া গেছে।	নদীর পানি বেড়ে গেছে।	The river has swollen.	ꠘꠖꠤ ꠛꠣꠠꠤꠀ ꠉꠦꠍꠦ.	Река разлилась.	Der Fluss ist angeschwollen.	Nature	Informal
52.1	Kapor fura oigese.	কাপড় ফুরা অইগেছে।	কাপড় পোড়া হয়ে গেছে।	The cloth has been burnt.	ꠇꠣꠙꠠ ꠚꠥꠠꠣ ꠅꠁꠉꠦꠍꠦ.	Ткань сгорела.	Das Tuch ist verbrannt.	Daily Life	Standard/Written
52.2	Xafor fura oigese.	খাফর ফুরা অইগেছে।	কাপড় পোড়া হয়ে গেছে।	The cloth has been burnt.	ꠈꠣꠚꠠ ꠚꠥꠠꠣ ꠅꠁꠉꠦꠍꠦ.	Ткань сгорела.	Das Tuch ist verbrannt.	Daily Life	Colloquial/Spoken
53.1	Dosto, kita khobor?	দোস্ত, কিতা খবর?	বন্ধু, কী খবর?	Friend, what is the news?	ꠖꠥꠍꠔꠧ, ꠇꠤꠔꠣ ꠈꠛꠞ?	Друг, какие новости?	Freund, was gibt es Neues?	Greeting	Informal
54.1	Ami ranna khairam.	আমি রান্না খাইরাম।	আমি রান্না খাচ্ছি।	I am eating cooked food.	ꠀꠝꠤ ꠞꠣꠘ꠆ꠘꠣ ꠈꠣꠁꠞꠣꠝ.	Я ем приготовленную еду.	Ich esse gekochtes Essen.	Food	Informal
55.1	Tar gussha aier.	তার গুসশা আইয়ের।	তার রাগ হচ্ছে।	He is getting angry.	ꠔꠣꠞ ꠉꠥꠍꠡꠣ ꠀꠁꠄꠞ.	Он злится.	Er wird wütend.	Emotion	Standard/Written
56.1	Bhai, he amar kotha hune na.	ভাই, হে আমার কথা হুনে না।	ভাই, সে আমার কথা শোনে না।	Brother, he does not listen to me.	ꠜꠣꠁ, ꠢꠦ ꠀꠝꠣꠞ ꠇꠕꠣ ꠢꠥꠘꠦ ꠘꠣ.	Брат, он меня не слушает.	Bruder, er hört mir nicht zu.	Complaint	Informal
57.1	Sokhal bela aio.	সখাল বেলা আইও।	সকাল বেলা এসো।	Come in the morning.	ꠡꠈꠣꠟ ꠛꠦꠟꠣ ꠀꠁꠅ.	Приходи утром.	Komm am Morgen.	Instruction	Standard/Written
58.1	Afne asoin ni?	আফনে আসইন নি?	আপনি আছেন কি?	Are you there?	ꠀꠚꠘꠦ ꠀꠍꠁꠘ ꠘꠤ?	Вы там?	Sind Sie da?	Inquiry	Formal
59.1	Purir shorir vala nai.	পুরির শরীর ভালা নাই।	মেয়েটির শরীর ভালো নেই।	The girl's health is not good.	ꠙꠥꠞꠤꠞ ꠡꠞꠤꠞ ꠜꠣꠟꠣ ꠘꠣꠁ.	Здоровье девочки не в порядке.	Die Gesundheit des Mädchens ist nicht gut.	Health	Standard/Written
59.2	Furir shorir vala nai.	ফুরির শরীর ভালা নাই।	মেয়েটির শরীর ভালো নেই।	The girl's health is not good.	ꠚꠥꠞꠤꠞ ꠡꠞꠤꠞ ꠜꠣꠟꠣ ꠘꠣꠁ.	Здоровье девочки не в порядке.	Die Gesundheit des Mädchens ist nicht gut.	Health	Colloquial/Spoken
60.1	Huta khoro.	হুতা খরো।	সুতা কাটো।	Cut the thread.	ꠢꠥꠔꠣ ꠈꠞꠧ.	Отрежь нить.	Schneide den Faden.	Action	Standard/Written
61.1	Kutta bhuki-er.	কুত্তা ভুকিয়ের।	কুকুরটি ডাকছে।	The dog is barking.	ꠇꠥꠔ꠆ꠔꠣ ꠜꠥꠇꠤꠄꠞ.	Собака лает.	Der Hund bellt.	Nature	Standard/Written
61.2	Xutta bhuki-er.	খুত্তা ভুকিয়ের।	কুকুরটি ডাকছে।	The dog is barking.	ꠈꠥꠔ꠆ꠔꠣ ꠜꠥꠇꠤꠄꠞ.	Собака лает.	Der Hund bellt.	Nature	Colloquial/Spoken
62.1	Ou, he ashse!	ওউ, হে আসছে!	ওহ, সে এসেছে!	Oh, he has come!	ꠅꠃ, ꠢꠦ ꠀꠡꠍꠦ!	О, он пришел!	Oh, er ist gekommen!	Expression	Informal
63.1	Bizli marer.	বিজলি মারের।	বজ্রপাত হচ্ছে।	Lightning is striking.	ꠛꠤꠎꠟꠤ ꠝꠣꠞꠦꠞ.	Сверкает молния.	Der Blitz schlägt ein.	Weather	Informal
64.1	Ami xala rong pochondo khori.	আমি খালা রং পছন্দ খরি।	আমি কালো রঙ পছন্দ করি।	I like the color black.	ꠀꠝꠤ ꠈꠣꠟꠣ ꠞꠋ ꠙꠍꠘ꠆ꠖ ꠈꠞꠤ.	Мне нравится черный цвет.	Ich mag die schwarze Farbe.	Opinion	Informal
