Index	Sylheti (Romanized)	Sylheti (Bangla Script)	Bangla (Standard)	English (Standard)	Syloti Nagri (ꠍꠤꠟꠐꠤ ꠘꠣꠉꠞꠤ)	Russian (Русский)	German (Deutsch)	Domain	POS	Register
1.12	Dourani	দৌড়ানি	তাড়া করা / দৌড়ানো	To chase / To make run	ꠖꠦꠃꠠꠣꠘꠤ	Гнаться / Заставлять бежать	Jagen / Rennen lassen	Daily Life	Verb	Informal
1.13	Hukani	হুকানি	শুকানো	To dry	ꠢꠥꠇꠣꠘꠤ	Сушить	Trocknen	Daily Life	Verb	Standard
1.14	Tukani	টুকানি	খোঁজা / সংগ্রহ করা	To search / To glean	ꠐꠥꠇꠣꠘꠤ	Искать / Собирать	Suchen / Sammeln	Daily Life	Verb	Standard
1.15	Zalani	জ্বালানি	জ্বালানো / পোড়ানো	To burn / To light up	ꠎꠣꠟꠣꠘꠤ	Сжигать / Зажигать	Verbrennen / Anzünden	Daily Life	Verb	Standard
1.16	Findani	ফিন্ধানি	পরানো (পোশাক)	To dress someone	ꠚꠤꠘ꠆ꠗꠣꠘꠤ	Одевать кого-то	Jemanden anziehen	Daily Life	Verb	Standard
1.17	Zikani	জিকানি	জিজ্ঞেস করা	To ask / To inquire	ꠎꠤꠇꠣꠘꠤ	Спрашивать / Узнавать	Fragen / Erkundigen	Daily Life	Verb	Standard
1.18	Xamrrani	খামড়ানি	কামড়ানো	To bite	ꠈꠣꠝꠠꠣꠘꠤ	Кусать	Beißen	Daily Life	Verb	Standard
1.19	Matani	মাতানি	কথা বলানো / ডাকা	To make speak / To call	ꠝꠣꠔꠣꠘꠤ	Заставлять говорить / Звать	Zum Sprechen bringen / Rufen	Daily Life	Verb	Standard
1.20	Hizani	হিজানি	সিদ্ধ করা	To boil	ꠢꠤꠎꠣꠘꠤ	Кипятить / Варить	Kochen / Sieden	Food	Verb	Standard
1.21	Urani	উড়ানি	ওড়ানো	To make fly	ꠃꠠꠣꠘꠤ	Запускать (в воздух)	Fliegen lassen	Nature	Verb	Standard
1.22	Bazaani	বাজানি	বাজানো	To play (instrument)	ꠛꠣꠎꠣꠘꠤ	Играть (на инструменте)	Spielen (Instrument)	Entertainment	Verb	Standard
1.23	Dorani	ডরানি	ভয় পাওয়া / ভয় দেখানো	To fear / To scare	ꠒꠞꠣꠘꠤ	Бояться / Пугать	Fürchten / Erschrecken	Daily Life	Verb	Standard
1.24	Xudani	খুদানি	লাফানো	To jump	ꠈꠥꠖꠣꠘꠤ	Прыгать	Springen	Daily Life	Verb	Standard
1.25	Nasani	নাচানি	নাচানো	To make dance	ꠘꠣꠌꠣꠘꠤ	Заставлять танцевать	Zum Tanzen bringen	Entertainment	Verb	Standard
1.26	Hasani	হাসানি	হাসানো	To make laugh	ꠢꠣꠍꠣꠘꠤ	Смешить	Zum Lachen bringen	Daily Life	Verb	Standard
1.27	Xatani	খাটানি	কাটানো (সময়)	To spend (time)	ꠈꠣꠐꠣꠘꠤ	Проводить (время)	Verbringen (Zeit)	Daily Life	Verb	Standard
1.28	Homani	হোমানি	ঢোকানো	To insert / To put inside	ꠢꠥꠝꠣꠘꠤ	Вставлять / Помещать внутрь	Einfügen / Hineinstecken	Daily Life	Verb	Standard
1.29	Barani	বাড়ানি	বাড়ানো	To increase / To extend	ꠛꠣꠠꠣꠘꠤ	Увеличивать	Erhöhen / Erweitern	Daily Life	Verb	Standard
1.30	Zulani	জুলানি	ঝোলানো	To hang	ꠎꠥꠟꠣꠘꠤ	Вешать	Aufhängen	Daily Life	Verb	Standard
2.1	Aisla	আইসলা	এসেছিলেন	Came / Had come	ꠀꠁꠍꠟꠣ	Пришли / Пришел	Kam / Sind gekommen	Daily Life	Verb	Informal
2.2	Gesla	গেসলা	গিয়েছিলেন	Went / Had gone	ꠉꠦꠍꠟꠣ	Ушли / Ушел	Ging / Sind gegangen	Daily Life	Verb	Informal
2.3	Marse	মারসে	মেরেছে	Hit / Beaten	ꠝꠣꠞꠍꠦ	Ударил / Побил	Hat geschlagen / Hat getroffen	Daily Life	Verb	Informal
2.4	Khaise	খাইসে	খেয়েছে	Has eaten	ꠈꠣꠁꠍꠦ	Съел	Hat gegessen	Daily Life	Verb	Informal
2.5	Loise	লইসে	ধরেছে	Has taken / Held	ꠟꠁꠍꠦ	Взял / Подержал	Hat genommen / Hat gehalten	Daily Life	Verb	Informal
2.6	Nise	নিসে	নিয়েছে	Has taken	ꠘꠤꠍꠦ	Взял	Hat genommen	Daily Life	Verb	Informal
2.7	Morse	মরসে	মারা গেছে	Has died	ꠝꠞꠍꠦ	Умер	Ist gestorben	Daily Life	Verb	Informal
2.8	Aumar	আউমার	ঝিমুচ্ছে	Is yawning / Dozing off	ꠀꠃꠝꠣꠞ	Зевает / Дремлет	Gähnt / Döst	Daily Life	Verb	Standard
2.9	Aummar	আউম্মার	ঝিমুচ্ছে	Is yawning / Dozing off	ꠀꠃꠝ꠆ꠝꠣꠞ	Зевает / Дремлет	Gähnt / Döst	Daily Life	Verb	Regional
2.10	Gillar	গিললার	গিলছে	Is swallowing	ꠉꠤꠟ꠆ꠟꠣꠞ	Проглатывает	Schluckt	Daily Life	Verb	Informal
2.11	Sabar	সাবার	চিবোচ্ছে	Is chewing	ꠌꠣꠛꠣꠞ	Жует	Kaut	Daily Life	Verb	Informal
2.12	Noailar	নোয়াইলার	নোয়াচ্ছে	Is bending	ꠘꠧꠀꠁꠟꠣꠞ	Сгибает	Biegt	Daily Life	Verb	Informal
2.13	Arilar	আরিলার	হেরে যাচ্ছে	Is losing	ꠀꠞꠤꠟꠣꠞ	Проигрывает	Verliert	Daily Life	Verb	Informal
2.14	Dekhse	দেখসে	দেখেছে	Has seen	ꠖꠦꠈꠍꠦ	Увидел	Hat gesehen	Daily Life	Verb	Informal
2.15	Hunsla	হুনছলা	শুনেছিলেন	Had heard	ꠢꠥꠘꠍꠟꠣ	Услышал	Hatte gehört	Daily Life	Verb	Informal
2.16	Hunsila	হুনছিলা	শুনেছিলেন	Had heard	ꠢꠥꠘꠍꠤꠟꠣ	Услышал	Hatte gehört	Daily Life	Verb	Regional
2.17	Hikhse	হিখসে	শিখেছে	Has learned	ꠢꠤꠇꠍꠦ	Научился	Hat gelernt	Education	Verb	Informal
2.18	Xoise	খইসে	বলেছে	Has said	ꠈꠁꠍꠦ	Сказал	Hat gesagt	Daily Life	Verb	Informal
2.19	Oise	অইসে	হয়েছে	Has happened	ꠅꠁꠍꠦ	Случилось	Ist passiert	Daily Life	Verb	Informal
2.20	Zanse	জানসে	জেনেছে	Has known	ꠎꠣꠘꠍꠦ	Узнал	Hat gewusst	Daily Life	Verb	Informal
2.21	Xorse	খরসে	করেছে	Has done	ꠈꠞꠍꠦ	Сделал	Hat getan	Daily Life	Verb	Informal
2.22	Ure	উড়ে	ওড়ে	Flies	ꠃꠠꠦ	Летает	Fliegt	Nature	Verb	Standard
2.23	Xande	খান্দে	কাঁদে	Cries	ꠈꠣꠘ꠆ꠖꠦ	Плачет	Weint	Daily Life	Verb	Standard
2.24	Hase	হাসে	হাসে	Laughs	ꠢꠣꠍꠦ	Смеется	Lacht	Daily Life	Verb	Standard
2.25	Ase	আসে	হাসে	Laughs	ꠀꠍꠦ	Смеется	Lacht	Daily Life	Verb	Regional
2.26	Zage	জাগে	জাগে	Wakes up	ꠎꠣꠉꠦ	Просыпается	Wacht auf	Daily Life	Verb	Standard
2.27	Forer	ফরের	পড়ছে	Is reading	ꠙꠠꠦꠞ	Читает	Liest	Education	Verb	Informal
2.28	Lixer	লিখের	লিখছে	Is writing	ꠟꠤꠈꠦꠞ	Пишет	Schreibt	Education	Verb	Informal
2.29	Lekher	লেখের	লিখছে	Is writing	ꠟꠦꠈꠦꠞ	Пишет	Schreibt	Education	Verb	Informal
3.1	Boi	বই	বই	Book	ꠛꠁ	Книга	Buch	Education	Noun	Standard
3.2	Xolom	খলম	কলম	Pen	ꠈꠟꠝ	Ручка	Stift	Education	Noun	Standard
3.3	Fani	ফানি	পানি	Water	ꠚꠣꠘꠤ	Вода	Wasser	Nature	Noun	Standard
3.4	Gas	গাছ	গাছ	Tree	ꠉꠣꠍ	Дерево	Baum	Nature	Noun	Standard
3.5	Mata	মাতা	মাথা	Head	ꠝꠣꠔꠣ	Голова	Kopf	Body Part	Noun	Standard
3.6	Xat	খাট	খাট	Bed	ꠈꠣꠐ	Кровать	Bett	Home	Noun	Standard
3.7	Falong	ফালং	খাট	Bed	ꠚꠣꠟꠋ	Кровать	Bett	Home	Noun	Regional
3.8	Zuta	জুতা	জুতো	Shoe	ꠎꠥꠔꠣ	Обувь	Schuh	Apparel	Noun	Standard
3.9	Zama	জামা	জামা	Shirt	ꠎꠣꠝꠣ	Рубашка	Hemd	Apparel	Noun	Standard
3.10	Xafor	খাফর	জামা / কাপড়	Shirt / Clothes	ꠈꠣꠚꠞ	Рубашка / Одежда	Hemd / Kleidung	Apparel	Noun	Regional
3.11	Ghor	ঘর	ঘর	House	ꠊꠞ	Дом	Haus	Home	Noun	Standard
3.12	Hat	হাত	হাত	Hand	ꠢꠣꠔ	Рука	Hand	Body Part	Noun	Standard
3.13	Pa	পা	পা	Foot / Leg	ꠙꠣ	Нога	Fuß	Body Part	Noun	Standard
3.14	Sokh	চখ	চোখ	Eye	ꠌꠈ	Глаз	Auge	Body Part	Noun	Standard
3.15	Xan	খান	কান	Ear	ꠈꠣꠘ	Ухо	Ohr	Body Part	Noun	Standard
3.16	Mukh	মুখ	মুখ	Face / Mouth	ꠝꠥꠈ	Лицо / Рот	Gesicht / Mund	Body Part	Noun	Standard
4.1	Tole	তলে	নিচে	Under / Below	ꠔꠟꠦ	Под / Внизу	Unter	Daily Life	Preposition	Standard
5.1	Noya	নয়া	নতুন	New	ꠘꠧꠀ	Новый	Neu	Daily Life	Adjective	Standard
5.2	Furan	পুরাণ	পুরোনো	Old	ꠙꠥꠞꠣꠘ	Старый	Alt	Daily Life	Adjective	Standard
5.3	Bhala	ভালা	ভালো	Good	ꠜꠣꠟꠣ	Хороший	Gut	Daily Life	Adjective	Standard
5.4	Xarab	খারাব	খারাপ	Bad	ꠈꠣꠞꠣꠛ	Плохой	Schlecht	Daily Life	Adjective	Standard
5.5	Boro	বড়	বড়	Big / Large	ꠛꠠ	Большой	Groß	Daily Life	Adjective	Standard
5.6	Sutu	ছুটু	ছোট	Small / Little	ꠍꠥꠐꠥ	Маленький	Klein	Daily Life	Adjective	Regional
5.7	Furu	ফুরু	ছোট	Small / Little	ꠚꠥꠞꠥ	Маленький	Klein	Daily Life	Adjective	Regional
5.8	Gorom	গরম	গরম	Hot / Warm	ꠉꠞꠝ	Горячий	Heiß	Daily Life	Adjective	Standard
5.9	Tanda	ঠাণ্ডা	ঠান্ডা	Cold	ꠑꠣꠘ꠆ꠒꠣ	Холодный	Kalt	Daily Life	Adjective	Standard
5.10	Mitai	মিটাই	মিষ্টি	Sweet	ꠝꠤꠐꠣꠁ	Сладкий	Süß	Food	Adjective	Regional
6.1	Ami	আমি	আমি	I	ꠀꠝꠤ	Я	Ich	Daily Life	Pronoun	Standard
6.2	Tumi	তুমি	তুমি	You (Informal)	ꠔꠥꠝꠤ	Ты	Du	Daily Life	Pronoun	Standard
6.3	Tain	তাইন্	তিনি	He / She (Honorific)	ꠔꠣꠁꠘ	Он / Она (уважительно)	Er / Sie (Höflich)	Daily Life	Pronoun	Standard
6.4	Tan	তান	তিনি	He / She (Contextual / Regional)	ꠔꠣꠘ	Он / Она	Er / Sie	Daily Life	Pronoun	Regional
6.5	Ou	ওই	ঐ / ওই	That / Demonstrative	ꠅꠃ	Тот	Jener	Daily Life	Pronoun	Standard
6.6	E	এ	এই	This	ꠁ	Этот	Dieser	Daily Life	Pronoun	Standard
7.1	Aiz	আইজ	আজ	Today	ꠀꠁꠎ	Сегодня	Heute	Time	Adverb	Standard
7.2	Xail	খাইল	আগামীকাল	Tomorrow	ꠇꠣꠁꠟ	Завтра	Morgen	Time	Adverb	Standard
7.3	One	অনে	এখন	Now	ꠅꠘꠦ	Сейчас	Jetzt	Time	Adverb	Regional
7.4	Bade	বাদে	পরে	Later / Afterwards	ꠛꠣꠖꠦ	Позже	Später	Time	Adverb	Standard
7.5	Soxal	সখাল	সকালে	In the morning	ꠍꠈꠣꠟ	Утром	Morgens	Time	Adverb	Regional
7.6	Hukham	হুকাম	সকালে	In the morning	ꠢꠥꠇꠣꠝ	Утром	Morgens	Time	Adverb	Standard
7.7	Goto xail	গত খাইল	গতকাল	Yesterday	ꠉꠔ ꠈꠣꠁꠟ	Вчера	Gestern	Time	Adverb	Standard
7.8	Ino	ইনো	এখানে	Here	ꠁꠘꠧ	Здесь	Hier	Place	Adverb	Standard
7.9	Hino	হিনো	ওখানে	There	ꠢꠤꠘꠧ	Там	Dort	Place	Adverb	Standard
7.10	Zoldi	জলদি	তাড়াতাড়ি	Quickly	ꠎꠟ꠆ꠖꠤ	Быстро	Schnell	Manner	Adverb	Standard
7.11	Aste	আস্তে	ধীরে	Slowly	ꠀꠍ꠆ꠔꠦ	Медленно	Langsam	Manner	Adverb	Standard
7.12	Hamesha	হামেশা	সবসময়	Always	ꠢꠣꠝꠦꠡꠣ	Всегда	Immer	Time	Adverb	Standard
7.13	Kunudin	কুনুদিন	কখনো	Ever / Sometime	ꠇꠥꠘꠥꠖꠤꠘ	Когда-нибудь	Irgendwann	Time	Adverb	Standard
