4.8	xarbar	কারবার	ꠇꠣꠞꠛꠣꠞ	কাজ/ব্যবসা	Business/Affair	Дело	Geschäft	General	Formal	Noun
4.9	shomaz	সমাজ	ꠡꠝꠣꠎ	সমাজ	Society	Общество	Gesellschaft	General	Formal	Noun
4.10	bidesh	বিদেশ	ꠛꠤꠖꠦꠡ	বিদেশ	Foreign land	Заграница	Ausland	General	Formal	Noun
5.1	mohobbot	মহব্বত	ꠝꠢꠛ꠆ꠛꠔ	ভালোবাসা	Love	Любовь	Liebe	General	Formal	Noun
5.2	gussa	গুচ্ছা	ꠉꠥꠍ꠆ꠍꠣ	রাগ	Anger	Гнев	Wut	General	Formal	Noun
5.3	iad	ইয়াদ	ꠁꠀꠖ	স্মৃতি/মনে পড়া	Memory/Recall	Память	Erinnerung	General	Formal	Noun
5.4	formash	ফরমাশ	ꠚꠞꠝꠣꠡ	আদেশ/নির্দেশ	Order/Command	Приказ	Befehl	General	Formal	Noun
5.5	azadi	আজাদি	ꠀꠎꠣꠖꠤ	স্বাধীনতা	Freedom	Свобода	Freiheit	General	Formal	Noun
5.6	bemar	বেমার	ꠛꠦꠝꠣꠞ	অসুস্থতা	Illness	Болезнь	Krankheit	General	Formal	Noun
5.7	nioiot	নিয়ত	ꠘꠤꠅꠔ	সংকল্প/উদ্দেশ্য	Intention	Намерение	Absicht	General	Formal	Noun
5.8	shanti	শান্তি	ꠡꠣꠘ꠆ꠔꠤ	শান্তি	Peace	Мир	Frieden	General	Formal	Noun
5.9	hok	হউখ	ꠢꠇ	অধিকার/সত্য	Right/Truth	Право/Истина	Recht/Wahrheit	General	Formal	Noun
5.10	xial	খেয়াল	ꠈꠦꠀꠟ	মনোযোগ	Attention	Внимание	Aufmerksamkeit	General	Formal	Noun
